"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"16","Anastopoulou et al.","2018","Mediterranean and Black Sea","Sparus aurata","Sparidae","Sparus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.7,20,"None","H2O2","Visual","None","no","yes","yes","","","","no",NA,57,6790,NA,20,20,146,132,NA,2.85,339.5,NA,1,7.3,6.6,"Anastopoulou et al.2018"
"17","Avio et al.","2015","Mediterranean and Black Sea","Chelidonichthys lucernus","Triglidae","Chelidonichthys","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4,20,"NaCl","H2O2","Visual","FTIR","yes","no","","yes","Polyethylene","","no",NA,76.2,NA,26.4,3,2.01,3,0,NA,25.4,NA,8.8,0.67,1,0,"Avio et al.2015"
"18","Avio et al.","2015","Mediterranean and Black Sea","Merlucius merlucius","Merlucciidae","Merlucius","Demersal","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,20,"NaCl","H2O2","Visual","FTIR","yes","no","","yes","Polyethylene","","no",NA,105,NA,7.2,3,3,3.99,1.71,NA,35,NA,2.4,1,1.33,0.57,"Avio et al.2015"
"19","Avio et al.","2015","Mediterranean and Black Sea","Mullus barbatus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.1,20,"NaCl","H2O2","Visual","FTIR","yes","no","","yes","Polyethylene","","no",NA,161.7,NA,12.1,11,7.04,17.27,8.58,NA,14.7,NA,1.1,0.64,1.57,0.78,"Avio et al.2015"
"20","Avio et al.","2015","Mediterranean and Black Sea","Sardina pilchardus","Clupeidae","Sardina","Pelagic-neritic","Subtropical","Least Concern","plants/detritus+animals","selective plankton feeding",3.1,20,"NaCl","H2O2","Visual","FTIR","yes","no","","yes","Polyethylene","","no",NA,1168.2,NA,77.22,99,18.81,176.22,69.3,NA,11.8,NA,0.78,0.19,1.78,0.7,"Avio et al.2015"
"21","Avio et al.","2015","Mediterranean and Black Sea","Squalus acanthias","Squalidae","Squalus","Benthopelagic","Temperate","Vulnerable","mainly animals","hunting macrofauna",4.4,20,"NaCl","H2O2","Visual","FTIR","yes","no","","yes","Polyethylene","","no",NA,428.4,NA,428.4,9,3.96,11.25,4.5,NA,47.6,NA,47.6,0.44,1.25,0.5,"Avio et al.2015"
"22","Avio et al.","2017","Mediterranean and Black Sea","Phycis phycis","Phycidae","Phycis","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.3,20,"NaCl","H2O2","Visual","FTIR","yes","no","no","yes","Polyethylene","","no",NA,258,NA,163,8,7,23.75,5.48,NA,32.25,NA,20.375,0.875,2.96875,0.685,"Avio et al.2017"
"23","Avio et al.","2017","Mediterranean and Black Sea","Spondyliosoma cantharus","Sparidae","Spondyliosoma","Benthopelagic","Subtropical","Least Concern","mainly animals","variable",3.3,20,"NaCl","H2O2","Visual","FTIR","yes","no","no","yes","Polyethylene","","no",NA,153,NA,36,5,5,16.9,3.45,NA,30.6,NA,7.2,1,3.38,0.69,"Avio et al.2017"
"24","Avio et al.","2017","Mediterranean and Black Sea","Uranoscupus scaber","Uranoscopidae","Uranoscupus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.4,20,"NaCl","H2O2","Visual","FTIR","yes","no","no","yes","Polyethylene","","no",NA,231,NA,201,9,6.99,26.4,22.71,NA,25.6666666666667,NA,22.3333333333333,0.776666666666667,2.93333333333333,2.52333333333333,"Avio et al.2017"
"25","Baalkhuyur et al.","2018","Indian Ocean, Western","Abudefduf sexfasciatus","Pomacentridae","Abudefduf","Reef-associated","Tropical","Not Evaluated","plants/detritus+animals","grazing on aquatic plants",2.7,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,73.15,304,6.75,5,1,5,NA,NA,14.63,60.8,1.35,0.2,1,NA,"Baalkhuyur et al.2018"
"26","Baalkhuyur et al.","2018","Indian Ocean, Western","Acanthurus gahhm","Acanthuridae","Acanthrus","Reef-associated","Tropical","Least Concern","plants/detritus+animals","variable",2.8,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,338.2,5351,212.7,10,10,10,NA,NA,33.82,535.1,21.27,1,1,NA,"Baalkhuyur et al.2018"
"27","Baalkhuyur et al.","2018","Indian Ocean, Western","Acanthurus sohal","Acanthuridae","Acanthurus ","Reef-associated","Tropical","Least Concern","mainly plants/detritus","browsing on substrate",2,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,56.7,276,11.01,3,0,0,NA,NA,18.9,92,3.67,0,0,NA,"Baalkhuyur et al.2018"
"28","Baalkhuyur et al.","2018","Indian Ocean, Western","Benthosema pterotum","Myctophidae","Benthosema","Benthopelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.1,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,NA,NA,22.4,10,10,10,NA,NA,NA,NA,2.24,1,1,NA,"Baalkhuyur et al.2018"
"29","Baalkhuyur et al.","2018","Indian Ocean, Western","Cephalopholis argus","Serranidae","Cephalopholis ","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.5,200,"None","NaOH","Visual","FTIR","yes","yes","yes","no","Polypropylene/Polyethylene","Black","no",NA,94.52,804,29,4,0,0,NA,NA,23.63,201,7.25,0,0,NA,"Baalkhuyur et al.2018"
