"","author","year","region","species","family","genus","environment","climate","red.list","feeding.type","feeding.habit","TL","min.size","float.meth","dig.meth","count.meth","polymer.meth","polymer.ID","blanks","maj.fib","maj.under.one.mm","maj.polymer","maj.col","exclude.fib","fork.lengthprod","total.lengthprod","Wprod","GWprod","N","IRprod","Mpsgutprod","SDMPsgutprod","fork.length","total.length","W","GW","IR","Mpsgut","SDMPsgut","study"
"65","Cannon et al.","2016","Pacific, Southwest","Engraulis australis","Engraulidae","Engraulis","Pelagic-neritic","Subtropical","Not Evaluated","mainly animals","selective plankton feeding",3,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,103,60,NA,10,0,0,0,NA,10.3,6,NA,0,0,0,"Cannon et al.2016"
"66","Cannon et al.","2016","Indian Ocean, Antarctic","Gymnoscopelus nicholsi","Myctophidae","Gymnoscopelus","Bathypelagic","Deep-water","Not Evaluated","mainly animals","selective plankton feeding",3.4,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,569.4,873.6,NA,39,0,0,0,NA,14.6,22.4,NA,0,0,0,"Cannon et al.2016"
"67","Cannon et al.","2016","Pacific, Southwest","Haletta semifasciata","Odacidae","Haletta","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.2,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,75.2,910.6,NA,2,0,0,0,NA,37.6,455.3,NA,0,0,0,"Cannon et al.2016"
"68","Cannon et al.","2016","Pacific, Southwest","Hyperlophus vittatus","Clupeidae","Hyperlophus","Pelagic-neritic","Temperate","Not Evaluated","mainly animals","selective plankton feeding",3.4,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,92,52,NA,10,0,0,0,NA,9.2,5.2,NA,0,0,0,"Cannon et al.2016"
"69","Cannon et al.","2016","Pacific, Southwest","Hyporhamphus melanochir","Hemiramphidae","Hyporhamphus","Pelagic-neritic","Temperate","Not Evaluated","plants/detritus+animals","grazing on aquatic plants",2.7,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,2072.4,8791.2,NA,66,0,0,0,NA,31.4,133.2,NA,0,0,0,"Cannon et al.2016"
"70","Cannon et al.","2016","Pacific, Southwest","Katsuwonus pelamis","Scombridae","Katsuwonus","Pelagic-oceanic","Tropical","Least Concern","mainly animals","hunting macrofauna",4.4,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,49,1629.3,NA,1,0,0,0,NA,49,1629.3,NA,0,0,0,"Cannon et al.2016"
"71","Cannon et al.","2016","Pacific, Southwest","Mugil cephalus","Mugilidae","Mugil","Benthopelagic","Subtropical","Least Concern","mainly plants/detritus","variable",2.5,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,1324.4,10599.5,NA,43,0,0,0,NA,30.8,246.5,NA,0,0,0,"Cannon et al.2016"
"72","Cannon et al.","2016","Pacific, Southwest","Notolabrus tetricus","Labridae","Notolabrus","Reef-associated","Temperate","Least Concern","","",3.6,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,212.1,3462.9,NA,7,0,0,0,NA,30.3,494.7,NA,0,0,0,"Cannon et al.2016"
"73","Cannon et al.","2016","Pacific, Southwest","Platycephalus bassensis","Platycephalidae","Platycephalus","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.3,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,310,NA,NA,10,0,0,0,NA,31,NA,NA,0,0,0,"Cannon et al.2016"
"74","Cannon et al.","2016","Pacific, Southwest","Platycephalus laevigatus ","Platycephalidae","Platycephalus","Demersal","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.8,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,242.2,1797.6,NA,7,0,0,0,NA,34.6,256.8,NA,0,0,0,"Cannon et al.2016"
"75","Cannon et al.","2016","Pacific, Southwest","Scomber australasicus ","Scombridae","Scomber","Pelagic-neritic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.2,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,135.2,1483.2,NA,4,0,0,0,NA,33.8,370.8,NA,0,0,0,"Cannon et al.2016"
"76","Cannon et al.","2016","Pacific, Southwest","Scorpaena jacksoniensis ","Scorpaenidae","Scorpaena","Reef-associated","Subtropical","Not Evaluated","","",3.9,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,412.3,4345.3,NA,19,0,0,0,NA,21.7,228.7,NA,0,0,0,"Cannon et al.2016"
"77","Cannon et al.","2016","Pacific, Southwest","Sillaginodes punctatus","Family Sillaginidae","Sillaginodes","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.3,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,222.4,976.8,NA,8,0,0,0,NA,27.8,122.1,NA,0,0,0,"Cannon et al.2016"
"78","Cannon et al.","2016","Pacific, Southwest","Sillago flindersi","Family Sillaginidae","Sillago","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.3,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,178,478,NA,10,0,0,0,NA,17.8,47.8,NA,0,0,0,"Cannon et al.2016"
"79","Cannon et al.","2016","Pacific, Southwest","Thyrsites atun","†Gempylidae","Thyrsites","Benthopelagic","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.6,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,111.4,1008.2,NA,2,0,0,0,NA,55.7,504.1,NA,0,0,0,"Cannon et al.2016"
"80","Cannon et al.","2016","Pacific, Southwest","Trachurus declivis ","†Carangidae","Trachurus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.9,330,"None","None","Visual","FTIR","yes","no","no","yes","Acrylic","Green-Brown","no",NA,671.6,5244,NA,23,0,0,0,NA,29.2,228,NA,0,0,0,"Cannon et al.2016"
"81","Chagnon et al.","2018","Pacific, Southeast","Cheilopogon rapanouiensis","Exocoetidae","Cheilopogon","Pelagic-neritic","Tropical","Least Concern","mainly animals","hunting macrofauna",4,100,"None","None","Visual","FTIR","yes","yes","","","Polyvinyl acetate","Blue","yes",NA,NA,NA,NA,43,7.009,1100.8,NA,NA,NA,NA,NA,0.163,25.6,NA,"Chagnon et al.2018"
"82","Chagnon et al.","2018","Pacific, Southeast","Thunnus albacares","Scombridae","Thunnus","Pelagic-oceanic","Tropical","Near Threatened","mainly animals","hunting macrofauna",4.4,100,"None","None","Visual","FTIR","yes","yes","","","Polypropylene","Green","yes",NA,NA,NA,NA,50,1,2,NA,NA,NA,NA,NA,0.02,0.04,NA,"Chagnon et al.2018"
"83","Collicutt et al.","2019","Pacific, Northeast","Oncorhynchus tshawytscha","Salmonidae ","Oncorhynchus","Benthopelagic","Temperate","Not Evaluated","mainly animals","hunting macrofauna",4.4,100,"None","KOH","Visual","None","no","yes","yes","","","Clear/Blue","no",5786.8,NA,444.74,NA,74,43.66,85.1,104.34,78.2,NA,6.01,NA,0.59,1.15,1.41,"Collicutt et al.2019"
"84","Dantas et al.","2012","Atlantic, Southwest","Stellifer brasiliensis","Sciaenidae","Stellifer","Demersal","Tropical","Not Evaluated","","",3.4,500,"None","None","Visual","None","no","no","no","yes","Nylon","Blue","no",NA,NA,NA,NA,330,22.77,NA,NA,NA,NA,NA,NA,0.069,NA,NA,"Dantas et al.2012"
"85","Dantas et al.","2012","Atlantic, Southwest","Stellifer stellifer","Sciaenidae","Stellifer","Demersal","Tropical","Data deficient","","",3.4,500,"None","None","Visual","None","no","no","no","yes","Nylon","Blue","no",NA,NA,NA,NA,239,21.988,NA,NA,NA,NA,NA,NA,0.092,NA,NA,"Dantas et al.2012"
"86","Dantas et al.","2019","Atlantic, Southwest","Genidens genidens","Ariidae","Genidens","Demersal","Subtropical","Least Concern","","",3.6,500,"None","None","Visual","None","no","no","no","no","Nylon polyamide","","no",NA,NA,NA,NA,92,NA,26.48,83.74,NA,NA,NA,NA,NA,0.287826086956522,0.910217391304348,"Dantas et al.2019"
"87","Davison & Asch","2011","Pacific, Eastern Central","Argyropelecus affinis","Sternoptychidae","Argyropelecus","Bathypelagic","Deep-water","Not Evaluated","mainly animals","selective plankton feeding",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"88","Davison & Asch","2011","Pacific, Eastern Central","Argyropelecus hemigymnus","Sternoptychidae","Argyropelecus","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"89","Davison & Asch","2011","Pacific, Eastern Central","Bolinichthys longipes","Myctophidae","Bolinichthys","Bathypelagic","Deep-water","Not Evaluated","mainly animals","selective plankton feeding",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"90","Davison & Asch","2011","Pacific, Eastern Central","Ceratoscopelus warmingii","Myctophidae","Ceratoscopelus","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.4,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,8,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"91","Davison & Asch","2011","Pacific, Eastern Central","Cyclothone acclinidens","Gonostomatidae","Cyclothone","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.6,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"92","Davison & Asch","2011","Pacific, Eastern Central","Cyclothone atraria","Gonostomatidae","Cyclothone","Bathypelagic","Deep-water","Not Evaluated","","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"93","Davison & Asch","2011","Pacific, Eastern Central","Cyclothone pallida","Gonostomatidae","Cyclothone","Bathypelagic","Deep-water","Least Concern","mainly animals","",3.2,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"94","Davison & Asch","2011","Pacific, Eastern Central","Cyclothone pseudopallida","Gonostomatidae","Cyclothone","Bathypelagic","Deep-water","Least Concern","mainly animals","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"95","Davison & Asch","2011","Pacific, Eastern Central","Danaphos oculatus","Sternoptychidae","Danaphos","Pelagic-oceanic","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,9,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"96","Davison & Asch","2011","Pacific, Eastern Central","Diaphus anderseni","Myctophidae","Diaphus","Bathypelagic","Deep-water","Least Concern","","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,13,2.002,NA,NA,NA,NA,NA,NA,0.154,NA,NA,"Davison & Asch2011"
"97","Davison & Asch","2011","Pacific, Eastern Central","Diaphus fulgens","Myctophidae","Diaphus","Bathypelagic","Deep-water","Not Evaluated","","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,7,2.002,NA,NA,NA,NA,NA,NA,0.286,NA,NA,"Davison & Asch2011"
"98","Davison & Asch","2011","Pacific, Eastern Central","Diaphus phillipsi","Myctophidae","Diaphus","Bathypelagic","Deep-water","Not Evaluated","","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,"Davison & Asch2011"
"99","Davison & Asch","2011","Pacific, Eastern Central","Diogenichthys atlanticus","Myctophidae","Diogenichthys","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"100","Davison & Asch","2011","Pacific, Eastern Central","Hygophum proximum","Myctophidae","Hygophum","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.2,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"101","Davison & Asch","2011","Pacific, Eastern Central","Hygophum reinhardtii","Myctophidae","Hygophum","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.2,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"102","Davison & Asch","2011","Pacific, Eastern Central","Idiacanthus antrostomus","Stomiidae","Idiacanthus","Bathypelagic","Deep-water","Not Evaluated","mainly animals","hunting macrofauna",3.8,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Davison & Asch2011"
"103","Davison & Asch","2011","Pacific, Eastern Central","Lampadena urophaos","Myctophidae","Lampadena","Pelagic-oceanic","Subtropical","Not Evaluated","","",3.2,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"104","Davison & Asch","2011","Pacific, Eastern Central","Lobianchia gemellarii","Myctophidae","Lobianchia","Bathypelagic","Deep-water","Least Concern","mainly animals","",3,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0.999,NA,NA,NA,NA,NA,NA,0.333,NA,NA,"Davison & Asch2011"
"105","Davison & Asch","2011","Pacific, Eastern Central","Myctophum nitidulum","Myctophidae","Myctophum","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.4,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,25,4,NA,NA,NA,NA,NA,NA,0.16,NA,NA,"Davison & Asch2011"
"106","Davison & Asch","2011","Pacific, Eastern Central","Nannobrachium fernae","Myctophidae","Nannobrachium","Bathypelagic","Deep-water","Not Evaluated","","",3.2,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"107","Davison & Asch","2011","Pacific, Eastern Central","Nannobrachium hawaiiensis","Myctophidae","Nannobrachium","Bathypelagic","Deep-water","Not Evaluated","","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"108","Davison & Asch","2011","Pacific, Eastern Central","Nannobrachium regale","Myctophidae","Nannobrachium","Bathypelagic","Deep-water","Not Evaluated","mainly animals","selective plankton feeding",3.2,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"109","Davison & Asch","2011","Pacific, Eastern Central","Notolychnus valdiviae","Myctophidae","Notolychnus","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"110","Davison & Asch","2011","Pacific, Eastern Central","Notoscopelus resplendens","Myctophidae","Notoscopelus","Bathypelagic","Deep-water","Least Concern","mainly animals","selective plankton feeding",3,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"111","Davison & Asch","2011","Pacific, Eastern Central","Sternoptyx diaphana","Sternoptychidae","Sternoptyx","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,0.25,NA,NA,"Davison & Asch2011"
"112","Davison & Asch","2011","Pacific, Eastern Central","Sternoptyx pseudobscura","Sternoptychidae","Sternoptyx","Bathypelagic","Deep-water","Least Concern","mainly animals","hunting macrofauna",3.4,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,6,0.996,NA,NA,NA,NA,NA,NA,0.166,NA,NA,"Davison & Asch2011"
"113","Davison & Asch","2011","Pacific, Eastern Central","Taaningichthys bathyphilus","Myctophidae","Taaningichthys","Bathypelagic","Deep-water","Least Concern","","",3.1,500,"None","None","Visual","Rose Bengal","yes","no","no","no","","","yes",NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,"Davison & Asch2011"
"114","Ding et al.","2018","Pacific, Northwest","Planiliza haematocheila","Mugilidae","Planiliza","Pelagic-neritic","Temperate","Not Evaluated","plants/detritus+animals","grazing on aquatic plants",2.5,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","Rayon, polyethylene terephthalate","Black","no",204.4,NA,1062,111.3,10,9,37,25.7,20.44,NA,106.2,11.13,0.9,3.7,2.57,"Ding et al.2018"
"115","Ding et al.","2018","Pacific, Northwest","Pleuronichthys cornutus","Pleuronectidae","Pleuronichthys","Demersal","Temperate","Not Evaluated","","",3.2,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","Rayon, polyethylene terephthalate","Black","no",182.8,NA,1940,136.5,10,9,39,22.1,18.28,NA,194,13.65,0.9,3.9,2.21,"Ding et al.2018"
"116","Ding et al.","2018","Pacific, Northwest","Pseudosciaena polyactis","Sciaenidae","Pseudosciaenidae","Benthopelagic","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.7,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","Rayon, polyethylene terephthalate, chlorinated polyethylene","Black","no",202.5,NA,1566.5,48.1,10,10,24,6.6,20.25,NA,156.65,4.81,1,2.4,0.66,"Ding et al.2018"
"117","Ding et al.","2018","Pacific, Northwest","Sebastes schlegelii","Sebastidae","Sebastes","Demersal","Temperate","Not Evaluated","mainly animals","hunting macrofauna",3.8,20,"None","KOH","Visual","FTIR","yes","yes","yes","yes","Rayon, polyethylene terephthalate","Black","no",218.2,NA,3093.8,253.4,10,9,23,19.5,21.82,NA,309.38,25.34,0.9,2.3,1.95,"Ding et al.2018"
"118","Ferreira et al.","2016","Atlantic, Southwest","Cynoscion acoupa","Sciaenidae","Cynoscion","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,500,"None","None","Visual","None","no","no","yes","no","","Blue","no",NA,NA,NA,NA,530,340.26,NA,NA,NA,NA,NA,NA,0.642,NA,NA,"Ferreira et al.2016"
"119","Ferreira et al.","2019","Atlantic, Southwest","Centropomus mexicanus","Centropomidae","Centropomus","Demersal","Tropical","Least Concern","mainly animals","hunting macrofauna",4,500,"None","None","Visual","None","no","no","no","","","","no",NA,NA,NA,NA,207,NA,289.8,20.7,NA,NA,NA,NA,NA,1.4,0.1,"Ferreira et al.2019"
"120","Ferreira et al.","2019","Atlantic, Southwest","Centropomus undecimalis","Centropomidae","Centropomus","Reef-associated","Tropical","Least Concern","mainly animals","hunting macrofauna",4.2,500,"None","None","Visual","None","no","no","no","","","","no",NA,NA,NA,NA,360,NA,540,36,NA,NA,NA,NA,NA,1.5,0.1,"Ferreira et al.2019"
"121","Foekema et al.","2013","Atlantic, Northeast","Clupea harengus","Clupeidae","Clupea","Benthopelagic","Temperate","Least Concern","mainly animals","selective plankton feeding",3.4,200,"None","KOH","Visual","FTIR","yes","no","","yes","","","no",NA,15282,112068,NA,566,11.32,NA,NA,NA,27,198,NA,0.02,NA,NA,"Foekema et al.2013"
"122","Foekema et al.","2013","Atlantic, Northeast","Gadus morhua","Gadidae","Gadus","Benthopelagic","Temperate","Vulnerable","mainly animals","hunting macrofauna",4.1,200,"None","KOH","Visual","FTIR","yes","no","","yes","","","no",NA,4880,264960,NA,80,10.4,NA,NA,NA,61,3312,NA,0.13,NA,NA,"Foekema et al.2013"
"123","Foekema et al.","2013","Atlantic, Northeast","Melanogrammus aeglefinus","Gadidae","Melanogrammus","Demersal","Temperate","Vulnerable","mainly animals","hunting macrofauna",4,200,"None","KOH","Visual","FTIR","yes","no","","yes","","","yes",NA,2725.7,18624,NA,97,5.82,NA,NA,NA,28.1,192,NA,0.06,NA,NA,"Foekema et al.2013"
"124","Foekema et al.","2013","Atlantic, Northeast","Merlangius merlangus","Gadidae","Merlangius","Benthopelagic","Temperate","Least Concern","mainly animals","hunting macrofauna",4.4,200,"None","KOH","Visual","FTIR","yes","no","","yes","","","yes",NA,3370.5,32130,NA,105,6.3,NA,NA,NA,32.1,306,NA,0.06,NA,NA,"Foekema et al.2013"
"125","Foekema et al.","2013","Atlantic, Northeast","Trachurus trachurus","Carangidae","Trachurus","Pelagic-neritic","Subtropical","Vulnerable","mainly animals","hunting macrofauna",3.7,200,"None","KOH","Visual","FTIR","yes","no","","yes","","","yes",NA,2090,7900,NA,100,1,NA,NA,NA,20.9,79,NA,0.01,NA,NA,"Foekema et al.2013"
"126","G¸ven et al.","2017","Mediterranean and Black Sea","Argyrosomus regius","Sciaenidae","Argyrosomus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.3,26,"None","H2O2","Visual","FTIR","yes","yes","yes","","Copolymers/Alloys","Blue","no",NA,NA,NA,NA,51,16.83,NA,NA,NA,NA,NA,NA,0.33,NA,NA,"G¸ven et al.2017"
"127","G¸ven et al.","2017","Mediterranean and Black Sea","Caranx crysos","Carangidae","Caranx","Reef-associated","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"128","G¸ven et al.","2017","Mediterranean and Black Sea","Chelon auratus","Mugilidae","Chelon","Pelagic-neritic","Temperate","Least Concern","plants/detritus+animals","variable",2.8,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"129","G¸ven et al.","2017","Mediterranean and Black Sea","Dentex dentex","Sparidae","Dentex","Benthopelagic","Subtropical","Vulnerable","mainly animals","hunting macrofauna",4.5,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"130","G¸ven et al.","2017","Mediterranean and Black Sea","Dentex gibbosus","Sparidae","Dentex","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",4.1,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"131","G¸ven et al.","2017","Mediterranean and Black Sea","Lagocephalus spadiceus","Tetraodontidae","Lagocephalus","Demersal","Subtropical","Least Concern","","",3.7,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"132","G¸ven et al.","2017","Mediterranean and Black Sea","Lithognathus mormyrus","Sparidae","Lithognathus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.4,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"133","G¸ven et al.","2017","Mediterranean and Black Sea","Mullus barbatus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.1,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"134","G¸ven et al.","2017","Mediterranean and Black Sea","Mullus surmuletus","Mullidae","Mullus","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"135","G¸ven et al.","2017","Mediterranean and Black Sea","Nemipterus randalli","Nemipteridae","Nemipterus","Demersal","Tropical","Not Evaluated","","",3.7,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"136","G¸ven et al.","2017","Mediterranean and Black Sea","Pagellus acarne","Sparidae","Pagellus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"137","G¸ven et al.","2017","Mediterranean and Black Sea","Pagellus erythrinus","Sparidae","Pagellus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.5,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"138","G¸ven et al.","2017","Mediterranean and Black Sea","Pagrus pagrus","Sparidae","Pagrus","Benthopelagic","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.9,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"139","G¸ven et al.","2017","Mediterranean and Black Sea","Pelates quadrilineatus","Terapontidae","Pelates","Reef-associated","Subtropical","Not Evaluated","mainly animals","hunting macrofauna",3.6,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"140","G¸ven et al.","2017","Mediterranean and Black Sea","Pomadasys incisus","Haemulidae","Pomadasys","Demersal","Subtropical","Least Concern","mainly animals","hunting macrofauna",3.8,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
"141","G¸ven et al.","2017","Mediterranean and Black Sea","Sardina pilchardus","Clupeidae","Sardina","Pelagic-neritic","Subtropical","Least Concern","plants/detritus+animals","selective plankton feeding",3.1,26,"None","H2O2","Visual","FTIR","yes","yes","","","","","no",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G¸ven et al.2017"
