author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,Croatian Sea,Pagellus erythrinus,Adult,Sparidae,Common pandora,Pagellus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,1.74,70.48,,30,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,50,1,1.6,,,yes,,,,no,
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,Croatian Sea,Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,1.31,16.87,,30,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,36.67,0.9,1.4,,,yes,,,,no,
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,"North-east Ionian Sea, Greece",Sardina pilchardus,Adult,Clupeidae,European pilchard,Sardina,Pelagic-neritic,Subtropical,Least Concern,plants/detritus+animals,selective plankton feeding,3.1,,1.1,9.63,,36,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,47.22,0.8,1.1,,,yes,,,,no,
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,Slovenian Sea,Solea solea,Adult,Soleidae,Common sole,Solea,Demersal,Subtropical,Data deficient,mainly animals,hunting macrofauna,3.2,,2.71,173.35,,20,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,65,1.9,2.7,,,yes,,,,no,
Anastopoulou et al.,Marine,Garth,2018,Mediterranean and Black Sea,Slovenian Sea,Sparus aurata,Adult,Sparidae,Gilthead seabream,Sparus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.7,,2.85,339.5,,20,Bottom trawl,20,None,H2O2,Visual,None,no,yes,,100,7.3,6.6,,,yes,,,,no,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Acnodon normani,Adult,Serrasalmidae,Sheep-pacu,Acnodon,Freshwater; benthopelagic,Tropical,,plants/detritus+animals,,2.3,11.67,,21.1,,4,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Metynnis guaporensis,Adult,Serrasalmidae,Pacu,Metynnis,Freshwater; pelagic,Tropical,,,,2.9,8.53,,27.8,,11,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Metynnis luna,Adult,Serrasalmidae,Palometa,Metynnis,Freshwater; pelagic,Tropical,,,,2.9,4.57,,4.7,,1,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Myloplus asterias,Adult,Serrasalmidae,Pacu,Myloplus,Freshwater; pelagic,Tropical,,,,,13.74,,161,,4,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
Andrade et al.,Freshwater,Garth,2019,America: South,Xingu River,Myloplus rhomboidalis,Adult,Serrasalmidae,Pacu,Myloplus,Freshwater; benthopelagic,Tropical,,plants/detritus+animals,,2.7,6.31,,9.9,,1,,500,None,None,Visual,FTIR,yes,yes,0,,0,,,,,,Polyethylene,black,yes,
