author,study.habitat,from,year,region,location,species,life.stage,family,common.name,genus,environment,climate,red.list,feeding.type,feeding.habit,TL,fork.length,total.length,W,GW,N,Cature.meth,min.size,float.meth,dig.meth,count.meth,polymer.meth,polymer.ID,blanks,blank.conc,ingest.rate,Mpsgut,SDMPsgut,MPspergfish,SDMPspergfish,maj.fib,maj.under.one.mm,maj.polymer,maj.col,exclude.fib,notes
Sarijan et al.,Freshwater,Garth,2019,Asia,Skudai River,Oxyeleotris marmorata,Adult,Eleotridae,Marble goby,Oxyeleotrix,Freshwater; demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,3.9,,,213,13,1,Cast net,22,NaCl,KOH,Visual,None,no,no,,,2,,,,no,no,,Blue and Black,no,
Saturno et al.,Marine,Garth,2020,Atlantic: Northwest,"Fogo Island, Newfoundland and Labrador",Gadus morhua,Adult,Gadidae,Atlantic cod,Gadus,Benthopelagic,Temperate,Vulnerable,mainly animals,hunting macrofauna,4.1,73,,,,216,Baited pots,1000,None,None,Visual,Raman,yes,no,,0,0,,,,,,,,no,
Savoca et al.,Marine,Hailey,2019,Mediterranean and Black Sea,Tyrrhenian Sea,Pagellus bogaraveo,Adult,Sparidae,Blackspot seabream,Pagellus,Benthopelagic,Temperate,Near Threatened,mainly animals,hunting macrofauna,4.2,,16.4,62.7,,24,Trawls,500,None,None,Visual,FTIR and Raman,yes,no,,12.5,,,,,yes,,Polyamide,Blue,no,
Savoca et al.,Marine,Hailey,2019,Mediterranean and Black Sea,Tyrrhenian Sea,Pagellus erythrinus,Adult,Sparidae,Common pandora,Pagellus,Benthopelagic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.5,,18.7,85.4,,15,Trawls,500,None,None,Visual,FTIR and Raman,yes,no,,6.67,,,,,yes,,Polyamide,Blue,no,
Sbrana et al.,Marine,Garth,2020,Mediterranean and Black Sea,Western Mediterranean,Boops boops,Adult,Sparidae,Bogue,Boops,Demersal,Subtropical,Least Concern,mainly animals,selective plankton feeding,2.8,,17.4,58.05,,379,Gill nets and purse seines,2.7,None,H2O2,Visual,FTIR,yes,yes,0,56,1.8,,,,yes,,Polyethylene,Black,no,
Silva-Cavalcanti et al.,Freshwater,Garth,2017,America: South,Pajeú river ,Hoplosternum littorale,Adult,Callichthyidae,Atipa,Hoplosternum,Freshwater; demersal,Subtropical,Not Evaluated,plants/detritus+animals,hunting macrofauna,2.7,,20.4,188,11,48,Local fishermen,500,None,None,Visual,None,no,no,,,3.25,,,,yes,yes,,,no,
Slootmaekers et al.,Freshwater,Hailey,2018,Europe,Flanders,Gobio gobia,Adult,Cyprinidae,Gudgeon,Gobio,Freshwater; benthopelagic,Temperate,Least Concern,mainly animals,hunting macrofauna,3.1,,11.85,16.02,0.61,78,Electrofishing,20,NaI,H2O2,Visual,FTIR,yes,yes,,9,0.025641026,,,,,yes,Polyethylene terephthalate,Green,no,excluded white/clear and ones that matched background
Smith,Marine,Hailey,2018,Atlantic: Northeast,North Sea,Scyliorhinus canicula,Adult,Scyliorhinidae,Lesser spotted dogfish,Scyliorhinus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.8,,64,,,20,Fish Market,500,None,None,Visual,None,no,no,,5,0.05,0.21,,,no,no,,,no,particles <0.05 mm exlcuded 
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Boleophthalmus pectinirostris,Adult,Gobiidae,Bluespotted mud hopper,Boleophthalmus,Demersal,Tropical,Not Evaluated,plants/detritus,grazing on aquatic plants,2,,4.2,7.6,0.9,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,56,5.3,2.4,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Coilia ectenes,Adult,Engraulidae,Tapertail anchovy,Coilia,Pelagic-neritic,Subtropical,Endangered,mainly animals,selective plankton feeding,3,,22.2,121.4,4.4,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,33,0.7,1.1,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Coilia ectenes,Adult,Engraulidae,Tapertail anchovy,Coilia,Pelagic-neritic,Subtropical,Endangered,mainly animals,selective plankton feeding,3,,21.8,20.6,1,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,33,0.3,0.5,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Coilia ectenes,Adult,Engraulidae,Tapertail anchovy,Coilia,Pelagic-neritic,Subtropical,Endangered,mainly animals,selective plankton feeding,3,,14.9,20.2,0.5,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,67,0.8,0.7,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Coilia ectenes,Adult,Engraulidae,Tapertail anchovy,Coilia,Pelagic-neritic,Subtropical,Endangered,mainly animals,selective plankton feeding,3,,13.6,18,0.4,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,67,1,1.5,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Coilia mystus,Adult,Engraulidae,Grenadier anchovy,Coilia,Pelagic-neritic,Tropical,Endangered,,,3.2,,19.4,16.4,0.7,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,22,0.3,0.7,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Collichthys lucidus,Adult,Sciaenidae,Spinyhead croaker,Collichthys,Demersal,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,13.1,25.4,1.2,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,33,0.6,1,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Collichthys lucidus,Adult,Sciaenidae,Spinyhead croaker,Collichthys,Demersal,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,12,17.5,0.7,8,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,25,0.5,0.9,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Collichthys lucidus,Adult,Sciaenidae,Spinyhead croaker,Collichthys,Demersal,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.6,,11.5,16.8,0.6,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,56,2.6,2.1,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Cynoglossus robustus,Adult,Cynoglossidae,Robust tonguefish,Cynoglossus,Demersal,Temperate,Not Evaluated,mainly animals,hunting macrofauna,3.5,,21.6,60,0.3,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,44,0.7,0.9,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Harpadon nehereus,Adult,Synodontidae,Bombay duck,Harpadon,Benthopelagic,Tropical,Not Evaluated,mainly animals,hunting macrofauna,4.2,,20.2,39.5,1.2,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,89,2.2,1.2,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Harpadon nehereus,Adult,Synodontidae,Bombay duck,Harpadon,Benthopelagic,Tropical,Not Evaluated,mainly animals,hunting macrofauna,4.2,,21,22,0.7,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,78,2.8,1.6,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Hemibarbus maculatus,Adult,Cyprinidae,Spotted carp,Hemibarbus,Benthopelagic,Temperate,Not Evaluated,mainly animals,hunting macrofauna,3.5,,21.4,82,2.1,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,44,0.9,1.2,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Pampus argenteus,Adult,Stromateidae,Silver pomfret,Pampus,Benthopelagic,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.3,,17.1,68.4,1.9,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,56,1.1,1.3,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Planiliza haematocheila,Adult,Mugilidae,Redlip mullet,Planiliza,Pelagic-neritic,Temperate,Not Evaluated,mainly animals,hunting macrofauna,2.5,,18.2,42.1,3.4,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,33,0.7,1.1,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Planiliza haematocheila,Adult,Mugilidae,Redlip mullet,Planiliza,Pelagic-neritic,Temperate,Not Evaluated,mainly animals,hunting macrofauna,2.5,,33.6,438.4,15.3,8,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,63,1.9,1.6,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Scomber japonicus,Adult,Scombridae,Chub mackerel,Scomber,Pelagic-neritic,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.4,,29.6,265.2,13,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,56,0.8,0.8,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Synechogobius ommaturus,Adult,Gobiidae,Spottedtail goby,Synechogobius,Demersal,Subtropical,Not Evaluated,,,3.6,,23.9,76.4,3.5,8,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,100,3.9,2.1,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Synechogobius ommaturus,Adult,Gobiidae,Spottedtail goby,Synechogobius,Demersal,Subtropical,Not Evaluated,,,3.6,,16.2,29.4,1.1,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,100,3.6,1.3,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Thamnaconus septentrionalis,Adult,Monacanthidae,Filefish,Thamnaconus,Demersal,Temperate,Not Evaluated,,,3.4,,13.1,25.6,0.6,9,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,33,0.7,1,,,yes,yes,Polyester,,no,
Su et al.,Marine,Hailey,2019,Pacific: Northwest,Yangtze Estuary,Tridentiger barbatus,Adult,Gobiidae,Shokihaze gobi,Tridentiger,Demersal,Temperate,Not Evaluated,,,3.4,,9.8,9.8,0.9,8,Local Fisherman,20,None,H2O2,Visual,FTIR,yes,yes,,100,4.5,2,,,yes,yes,Polyester,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Cleisthenes herzensteini,Adult,Pleuronectidae,Pointhead flounder,Cleisthenes,Demersal,Temperate,Not Evaluated,mainly animals,hunting macrofauna,3.4,,12.1,7.9,,36,Bottom trawl,0.45,None,HNO3,Visual,FTIR,yes,yes,0,33,0.44,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Decapterus maruadsi,Adult,Carangidae,Japanese scad,Decapterus,Reef-associated,Tropical,Least Concern,mainly animals,selective plankton feeding,3.4,,10,17,,78,Bottom trawl,0.45,None,HNO4,Visual,FTIR,yes,yes,0,31,0.41,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Gadus macrocephalus,Adult,Gadidae,Pacific cod,Gadus,Demersal,Boreal,Not Evaluated,mainly animals,hunting macrofauna,4.2,,8.5,12.5,,40,Bottom trawl,0.45,None,HNO5,Visual,FTIR,yes,yes,0,40,0.43,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Hexagrammos otakii,Adult,Hexagrammidae,Fat greenling,Hexagrammos,Demersal,Temperate,Not Evaluated,mainly animals,hunting macrofauna,3.8,,9.8,8.8,,40,Bottom trawl,0.45,None,HNO6,Visual,FTIR,yes,yes,0,33,0.38,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Larimichthys polyactis,Adult,Sciaenidae,Yellow croaker,Larimichthys,Benthopelagic,Subtropical,Not Evaluated,mainly animals,hunting macrofauna,3.7,,7.7,21.8,,30,Bottom trawl,0.45,None,HNO7,Visual,FTIR,yes,yes,0,37,0.97,,,,no,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Lophius litulon,Adult,Lophiidae,Yellow goosefish,Lophius,Bathydemersal,Deep-water,Not Evaluated,mainly animals,hunting macrofauna,4.1,,15.2,59,,20,Bottom trawl,0.45,None,HNO8,Visual,FTIR,yes,yes,0,25,0.25,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Pampus argenteus,Adult,Stromateidae,Silver pomfret,Pampus,Benthopelagic,Subtropical,Not Evaluated,mainly animals,selective plankton feeding,3.3,,13.5,14.2,,10,Bottom trawl,0.45,None,HNO9,Visual,FTIR,yes,yes,0,20,0.2,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Psenopsis anomala,Adult,Centrolophidae,Pacific rudderfish,Psenopsis,Benthopelagic,Tropical,Least Concern,mainly animals,hunting macrofauna,4,,9.6,4.2,,10,Bottom trawl,0.45,None,HNO10,Visual,FTIR,yes,yes,0,20,0.2,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Setipinna taty,Adult,Engraulidae,Scaly hairfin anchovy,Setipanna,Pelagic-neritic,Tropical,Least Concern,mainly animals,selective plankton feeding,3.6,,15,10.5,,20,Bottom trawl,0.45,None,HNO11,Visual,FTIR,yes,yes,0,30,0.35,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Ammodytes personatus,Adult,Ammodytidae,Pacific sandlance,Ammodytes,Demersal,Temperate,Not Evaluated,mainly animals,selective plankton feeding,3.1,,11.5,7.1,,50,Bottom trawl,0.45,None,HNO12,Visual,FTIR,yes,yes,0,40,0.54,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Anchoviella commersonii,Adult,Engraulidae,Commerson's anchovy,Stolephorus,Pelagic-neritic,Tropical,Least Concern,mainly animals,selective plankton feeding,3.1,,7.9,29.3,,30,Bottom trawl,0.45,None,HNO13,Visual,FTIR,yes,yes,0,33,0.4,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Chelidonichthys kumu,Adult,Triglidae,Bluefin gurnard,Chelidonichthys,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.7,,11.2,4.6,,177,Bottom trawl,0.45,None,HNO14,Visual,FTIR,yes,yes,0,36,0.45,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Enchelyopus elongatus,Adult,Zoarcidae,Nagagaji,Zoarces,Demersal,Temperate,Not Evaluated,mainly animals,variable,3.2,,12.4,9.6,,20,Bottom trawl,0.45,None,HNO15,Visual,FTIR,yes,yes,0,65,0.8,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Engraulis japonicus,Adult,Engraulidae,Japanese anchovy,Engraulis,Pelagic-neritic,Temperate,Not Evaluated,plants/detritus+animals,filtering plankton,3.1,,10.2,4.3,,280,Bottom trawl,0.45,None,HNO16,Visual,FTIR,yes,yes,0,33,0.39,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Pholis fangi,Adult,Pholidae,????,Pholis,Demersal,Temperate,Not Evaluated,,,3.2,,14,19.4,,79,Bottom trawl,0.45,None,HNO17,Visual,FTIR,yes,yes,0,38,0.48,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Apogon lineatus,Adult,Apongonidae,Indian perch,Jaydia,Demersal,Tropical,Not Evaluated,mainly animals,hunting macrofauna,3.7,,6.7,3.5,,20,Bottom trawl,0.45,None,HNO18,Visual,FTIR,yes,yes,0,35,0.4,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Erisphex pottii,Adult,Aploactinidae,Spotted velvetfish,Erisphex,Demersal,Temperate,Least Concern,mainly animals,,4.1,,7.8,11.7,,120,Bottom trawl,0.45,None,HNO19,Visual,FTIR,yes,yes,0,28,0.32,,,,yes,yes,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Eupleurogrammus muticus,Adult,Trichiuridae,Smallhead hairtail,Eupleurogrammus,Benthopelagic,Tropical,Not Evaluated,mainly animals,hunting macrofauna,4.1,,32.4,15.8,,15,Bottom trawl,0.45,None,HNO20,Visual,FTIR,yes,yes,0,33,0.33,,,,yes,no,Organic oxidation polymer,,no,
Sun et al.,Marine,Garth,2019,Pacific: Northwest,Yellow Sea,Liparis tanakae,Adult,Liparidae,Tanaka's snailfish,Liparis,Demersal,Temperate,Not Evaluated,mainly animals,hunting macrofauna,4.3,,10.3,15.1,,245,Bottom trawl,0.45,None,HNO21,Visual,FTIR,yes,yes,0,0,0.36,,,,yes,yes,Organic oxidation polymer,,no,
Talley et al.,Freshwater,Garth,2020,America: North,"Chollas Creek, San Diego",Fundulus parvipinnis,Adult,Fundulidae,California killifish,Fundulus,Freshwater; benthopelagic,Subtropical,Least Concern,,,3.3,4.46,5.25,2.54,,68,Minnow traps,500,None,None,Visual,None,no,yes,,12,0.294117647,,,,yes,,,,no,
Talley et al.,Freshwater,Garth,2020,America: North,"Chollas Creek, San Diego",Poecilia latipinna,Adult,Poeciliidae,Sailfin molly,Poecilia,Freshwater; benthopelagic,Subtropical,Least Concern,mainly plants/detritus,grazing on aquatic plants,2,4.07,4.99,2.52,,82,Minnow traps,500,None,None,Visual,None,no,yes,,32,0.609756098,,,,yes,,,,no,
Tanaka and Takada,Marine,Hailey,2016,Pacific: Northwest,Tokyo Bay,Engraulis japonicus,Adult,Engraulidae,Japanese anchovy,Engraulis,Pelagic-neritic,Temperate,Not Evaluated,plants/detritus+animals,filtering plankton,3.1,,112.5,,,64,Sabiki rigs,20,None,KOH,Visual,FTIR,yes,yes,0,77,2.3,2.5,,,no,yes,Polyethylene,White,no,
Valente et al.,Marine,Garth,2019,Mediterranean and Black Sea,Tyrrhenian Sea,Galeus melastomus,Adult,Scyliorhinidae,Blackmouth catshark,Galeus,Demersal,Deep-water,Least Concern,mainly animals,hunting macrofauna,4.2,,37.7,157.4,10.6,32,Otter trawl,100,None,KOH,Visual,FTIR,yes,yes,,78.1,4.46875,,,,yes,yes,Polypropylene,Dark,no,
Valente et al.,Marine,Garth,2019,Mediterranean and Black Sea,Tyrrhenian Sea,Scyliorhinus canicula,Adult,Scyliorhinidae,Lesser spotted dogfish,Scyliorhinus,Demersal,Subtropical,Least Concern,mainly animals,hunting macrofauna,3.8,,34.4,137.9,7.7,30,Otter trawl,100,None,KOH,Visual,FTIR,yes,yes,,66.7,2.5,,,,yes,yes,Polypropylene,Dark,no,
Valente et al.,Marine,Garth,2019,Mediterranean and Black Sea,Tyrrhenian Sea,Etmopterus spinax,Adult,Etmopteridae,Velvet belly,Etmopterus,Bathydemersal,Deep-water,Least Concern,mainly animals,hunting macrofauna,4.1,,26.9,80.2,5.5,34,Otter trawl,100,None,KOH,Visual,FTIR,yes,yes,,61.8,1.176470588,,,,yes,yes,Polypropylene,Dark,no,
Verlaan et al.,Marine,Garth,2019,Atlantic: Northeast,"Roskilde Fjord, Denmark",Zoarces viviparus,Adult,Zoarcidae,Eelpout,Zoarces,Demersal,Temperate,Not Evaluated,mainly animals,hunting macrofauna,3.5,,18.46,47.99,,139,Fyke net,100,None,KOH,Visual,FTIR,yes,yes,,10.1,0.100719424,,,,yes,,Polyester,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Achirus lineatus,Adult,Achiridae,Lined sole,Achirus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.5,,62.6,10.2,,6,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Achirus lineatus,Adult,Achiridae,Lined sole,Achirus,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.5,,41,1.4,,4,Beach seine,500,None,None,Visual,None,no,no,,,0.5,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Anchoa januaria,Adult,Engraulidae,Rio anchovy,Anchoa,Pelagic-neritic,Tropical,Not Evaluated,plants/detritus+animals,,2.9,,49.1,0.7,,109,Beach seine,500,None,None,Visual,None,no,no,,,0.16,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Anchoa januaria,Adult,Engraulidae,Rio anchovy,Anchoa,Pelagic-neritic,Tropical,Not Evaluated,plants/detritus+animals,,2.9,,64.3,1.9,,85,Beach seine,500,None,None,Visual,None,no,no,,,0.13,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Anchoa marinii,Adult,Engraulidae,Marini's anchovy,Anchoa,Pelagic-oceanic,Subtropical,Not Evaluated,mainly animals,selective plankton feeding,3.4,,40,0.32,,19,Beach seine,500,None,None,Visual,None,no,no,,,0.05,,,,yes,no,,,no,only particles less than 1 mm considered
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Anchoa marinii,Adult,Engraulidae,Marini's anchovy,Anchoa,Pelagic-oceanic,Subtropical,Not Evaluated,mainly animals,selective plankton feeding,3.4,,59,0.8,,3,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Anchovia clupeoides,Adult,Engraulidae,Zabaleta anchovy,Anchovia,Benthopelagic,Tropical,Least Concern,mainly animals,selective plankton feeding,3.4,,98.5,6.7,,8,Beach seine,500,None,None,Visual,None,no,no,,,0.13,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Anchovia clupeoides,Adult,Engraulidae,Zabaleta anchovy,Anchovia,Benthopelagic,Tropical,Least Concern,mainly animals,selective plankton feeding,3.4,,79,4.4,,2,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Atherinella brasiliensis,Adult,Atherinopsidae ,Brazilian silversides,Atherinella,Benthopelagic,Tropical,Least Concern,plants/detritus+animals,hunting macrofauna,3.2,,56.2,2.3,,215,Beach seine,500,None,None,Visual,None,no,no,,,0.05,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Atherinella brasiliensis,Adult,Atherinopsidae ,Brazilian silversides,Atherinella,Benthopelagic,Tropical,Least Concern,plants/detritus+animals,hunting macrofauna,3.2,,62.5,2.4,,190,Beach seine,500,None,None,Visual,None,no,no,,,0.03,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Caranx latus,Adult,Carangidae,Horse-eye jack,Caranx,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.2,,48,1.8,,33,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Caranx latus,Adult,Carangidae,Horse-eye jack,Caranx,Reef-associated,Subtropical,Least Concern,mainly animals,hunting macrofauna,4.2,,42.7,1.4,,24,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Citharichthys spilopterus,Adult,Paralichthyidae,Bay whiff,Citharichthys,Demersal,Tropical,Least Concern,mainly animals,variable,3.6,,49.6,6.5,,9,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Citharichthys spilopterus,Adult,Paralichthyidae,Bay whiff,Citharichthys,Demersal,Tropical,Least Concern,mainly animals,variable,3.6,,,,,3,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Ctenogobius boleosoma,Adult,Gobiidae,Darter goby,Ctenogobius,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.3,,27.4,0.2,,16,Beach seine,500,None,None,Visual,None,no,no,,,0.06,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Ctenogobius boleosoma,Adult,Gobiidae,Darter goby,Ctenogobius,Reef-associated,Tropical,Least Concern,mainly animals,hunting macrofauna,3.3,,27.3,0.2,,11,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Diapterus auratus,Adult,Gerreidae,Irish mojarra,Diapterus,Demersal,Tropical,Least Concern,plants/detritus+animals,variable,2.4,,54.4,1,,29,Beach seine,500,None,None,Visual,None,no,no,,,0.97,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Diapterus rhombeus,Adult,Gerreidae,Caitipia mojarra,Diapterus,Demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,3,,31.9,0.5,,13,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Diapterus rhombeus,Adult,Gerreidae,Caitipia mojarra,Diapterus,Demersal,Tropical,Least Concern,mainly animals,hunting macrofauna,3,,42.3,0.8,,18,Beach seine,500,None,None,Visual,None,no,no,,,0.06,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Mamanguape estuary,Eucinoctomus melanopterus,Adult,Gerreidae,Flagfin mojarra,Eucinostomus,Demersal,Subtropical,Least Concern,mainly animals,variable,3.4,,24.7,0.2,,19,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
Vendel et al.,Marine,Hailey,2017,Atlantic: Southwest,Paraiba estuary,Eucinostomus argenteus,Adult,Gerreidae,Flagfin mojarra,Eucinostomus,Demersal,Subtropical,Least Concern,mainly animals,variable,3.2,,43.2,1.2,,52,Beach seine,500,None,None,Visual,None,no,no,,,0,,,,yes,no,,,no,
